IdUser ; nbreMess ; Jour ; BeginTime; endTime; Q1 ;  Q2  ;  Q3  ;  Q4  ;  Q5  ;  Q6_1 ;  Q6_2 ; Q6_3  ; Q6_4  ; Q6_5 ;  Q6_6 ; Q6_7  ;  Q6_8; Q6_9 ;  Q7  ;  Q8  ;  Q9 ; type
6;3;2016-03-19T00:00:00.000Z;21:32:19;21:33:26;1;;7;1;1;0;5;0;0;0;0;6;0;0;1;1;1;smartphone
6;4;2016-03-20T00:00:00.000Z;16:11:32;16:12:23;1;;6;2;4;0;5;0;0;0;0;0;0;0;1;1;1;smartphone
6;5;2016-03-21T00:00:00.000Z;11:39:38;11:40:25;2;;6;3;3;0;0;0;5;3;0;0;0;0;2;1;1;computer
6;6;2016-03-22T00:00:00.000Z;9:14:23;9:14:49;2;;7;1;4;0;0;0;0;0;0;0;0;0;4;4;4;computer
7;1;2016-03-17T00:00:00.000Z;11:25:33;11:30:55;2;Je suis au travail: je prépare un cours sur les procédures d'urgence et l'équipement  que je donne demain à des pilotes d'air tanker américains. ;7;7;7;7;6;1;1;1;2;7;4;5;1;1;1;smartphone
8;1;2016-03-17T00:00:00.000Z;12:0:22;12:2:31;3;Je lis un texte concernant l'enseignement programmé et je réponds aux questions du guide de lecture;3;4;2;0;0;4;5;3;6;4;0;0;1;1;1;computer
8;2;2016-03-18T00:00:00.000Z;9:7:25;9:8:54;3;Je lis un texte en psycho clinique qui porte sur le psychodiagnostic clinique et  je prends des notes;2;7;3;4;0;0;4;0;0;0;0;0;1;1;1;computer
8;3;2016-03-19T00:00:00.000Z;13:13:12;13:15:49;2;Je suis en présentiel de l'unidistance;4;7;5;6;5;0;0;0;0;6;0;0;5;2;3;smartphone
8;4;2016-03-20T00:00:00.000Z;13:11:31;13:11:48;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;smartphone
8;5;2016-03-21T00:00:00.000Z;9:9:33;9:9:43;2;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;computer
9;1;2016-03-17T00:00:00.000Z;13:30:51;13:32:38;3;Je suis entrain de poster un devoir commun pour la psycho éduc. ;7;7;7;7;6;0;0;0;0;7;0;0;4;1;1;computer
9;2;2016-03-18T00:00:00.000Z;13:39:12;13:42:0;3;Je suis entrain de relire un résumé d'article que j'ai fait pour la psycho sociale. C'est sur la communication informelle, Festinger.;3;7;7;6;2;1;0;0;4;7;0;0;1;1;1;computer
9;3;2016-03-19T00:00:00.000Z;13:55:46;13:57:58;3;lecture d'un article de psychologie sociale: Le pouvoir social;3;7;4;3;0;1;0;0;5;7;0;0;1;1;1;computer
9;4;2016-03-20T00:00:00.000Z;13:17:13;13:19:34;3;Poursuite de la lecture de psycho sociale sur le pouvoir social. ;4;7;6;3;0;2;0;1;2;7;0;0;1;1;1;computer
9;5;2016-03-21T00:00:00.000Z;12:56:46;12:58:59;3;Je lis un article sur la conformité et la déviance en anglais pour le cours de psycho sociale.;2;7;6;0;0;6;0;6;5;5;0;2;1;1;1;computer
10;1;2016-03-17T00:00:00.000Z;17:14:2;17:14:49;2;;4;4;5;5;4;0;0;0;2;4;0;0;4;2;6;computer
10;2;2016-03-18T00:00:00.000Z;17:18:39;17:19:47;2;;3;4;5;6;3;0;0;0;2;4;0;0;2;2;2;smartphone
10;3;2016-03-20T00:00:00.000Z;18:53:19;18:53:57;2;;5;5;3;1;2;0;0;0;1;2;0;0;1;2;4;computer
10;4;2016-03-21T00:00:00.000Z;17:44:1;17:50:22;3;- Consultation des tâches à accomplir pour le module de psychologie clinique - Impression des divers documents relatifs;6;5;5;5;1;0;1;0;1;6;0;0;2;1;3;computer
11;1;2016-03-17T00:00:00.000Z;17:29:57;17:33:13;2;;4;4;3;6;7;7;3;3;5;2;0;3;7;3;2;computer
11;2;2016-03-18T00:00:00.000Z;12:43:38;12:46:54;2;cer ap je veux lire les lectures de psychologie sociale ;5;4;4;6;7;5;2;7;6;7;0;3;7;4;4;computer
11;3;2016-03-19T00:00:00.000Z;16:8:28;16:9:55;2;;3;3;6;5;7;4;4;6;5;6;0;4;7;5;7;computer
11;4;2016-03-21T00:00:00.000Z;10:5:3;10:7:28;3;En train lire et résumer une lecture de cours de psychologie sociale.;2;5;5;5;7;5;2;3;7;7;0;1;7;2;1;computer
12;1;2016-03-17T00:00:00.000Z;21:19:28;21:27:14;2;J'allais me coucher (rare à cette heure!) quand j'ai reçu le questionnaire, fatiguée, pense que je terminerai le travail à rendre demain assez tôt.;4;7;7;1;0;0;0;5;4;0;0;0;1;1;1;computer
13;1;2016-03-18T00:00:00.000Z;9:31:39;9:34:31;3;Lecture et synthèse d'un document en psychologie clinique.;6;7;7;7;6;0;0;0;0;7;0;0;5;1;1;computer
13;2;2016-03-20T00:00:00.000Z;21:22:49;21:24:36;3;recherches d'informations;5;7;7;6;4;3;0;6;0;6;0;0;5;3;2;computer
13;3;2016-03-21T00:00:00.000Z;9:32:28;9:34:23;3;Synthèse d'un document en psychologie clinique;6;7;6;6;5;0;0;0;0;6;0;0;1;1;1;computer
14;1;2016-03-18T00:00:00.000Z;11:1:30;11:3:47;2;;5;7;7;6;0;3;6;3;2;0;0;0;1;1;1;computer
15;1;2016-03-18T00:00:00.000Z;12:26:13;12:27:21;3;schéma en psychologie clinique;3;5;7;6;0;0;0;3;0;0;0;0;5;4;4;computer
15;2;2016-03-19T00:00:00.000Z;12:19:44;12:20:24;3;définition pour psychologie de l'éducation ;5;6;7;6;0;0;0;0;0;5;0;0;6;6;6;computer
15;3;2016-03-21T00:00:00.000Z;9:4:18;9:5:11;3;médecine comportementale : étude de cas ;4;7;7;6;0;0;0;5;6;0;0;0;3;1;1;computer
15;4;2016-03-22T00:00:00.000Z;9:8:26;9:9:18;3;psycho de l'éducation : lecture du guide de lecture;4;6;6;0;0;0;0;0;5;0;0;0;3;1;1;computer
16;1;2016-03-18T00:00:00.000Z;23:28:21;23:30:51;3;Répondre à une question d'étudiante sur le forum de psy sociale.;5;6;6;7;4;3;0;0;0;0;0;0;1;1;1;computer
16;2;2016-03-20T00:00:00.000Z;16:30:24;16:30:52;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;computer
16;3;2016-03-20T00:00:00.000Z;21:17:17;21:20:15;2;Je tente de planifier ma semaine...;3;3;2;0;0;0;0;7;6;0;0;0;2;1;1;computer
16;4;2016-03-21T00:00:00.000Z;22:6:35;22:7:15;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;smartphone
17;1;2016-03-19T00:00:00.000Z;17:54:10;17:54:53;2;;5;5;5;5;4;0;0;0;1;5;0;0;5;4;4;smartphone
17;2;2016-03-20T00:00:00.000Z;21:14:38;21:20:17;3;Je fais des résumés/ fiches de lecture pour la psychologie clinique. ;6;6;6;7;5;0;0;0;1;0;0;0;5;3;4;computer
17;3;2016-03-20T00:00:00.000Z;21:23:44;21:27:15;3;Samedi : j'étais en cours et n'ai pas rempli durant le cours, mais me souviens de mon humeur. Cours de psychologie de l'éducation lors du travail de groupe.;5;6;6;6;4;0;0;4;0;5;0;0;4;2;4;computer
18;1;2016-03-20T00:00:00.000Z;6:37:42;6:41:32;3;Lire;7;7;5;5;4;0;2;0;2;4;0;0;2;2;1;smartphone
18;2;2016-03-20T00:00:00.000Z;21:28:8;21:29:58;1;;3;3;1;6;2;4;1;7;7;7;0;1;7;2;1;computer
18;3;2016-03-21T00:00:00.000Z;23:57:43;23:59:59;3;Lecture;6;7;5;5;4;0;2;0;2;2;0;0;2;2;1;computer
19;1;2016-03-20T00:00:00.000Z;22:6:29;22:8:56;3;un résumé d'un chapitre;5;5;6;5;0;6;0;0;0;6;0;0;1;1;1;computer
20;1;2016-03-20T00:00:00.000Z;22:10:22;22:12:4;3;recherches internet sur les travaux de Lang;4;4;5;0;6;0;0;0;0;5;0;0;1;1;1;computer
21;1;2016-03-22T00:00:00.000Z;8:3:20;8:8:55;3;Je regarde qu'est ce que je dois faire pendant ce période, la lecture et des devoirs à rendre;4;7;6;6;6;0;0;0;0;7;0;0;3;3;2;smartphone
